code;name;id;registry_title;registry_title;email;phone;id2;url;pi_title;city;registry_sub_title;registry_name;id2;adress;zip_code;id3;country_code;continent;country_u;country
ANUSALAA;Louisiana;V;307;Louisiana Tumor Registry;xwu@lsuhsc.edu;(1) 504 568 5757;(1) 504 568 5800;https://sph.lsuhsc.edu/louisiana-tumor-registry/;Covers ANUSALS, ANUSALT. NPCR since 1994, SEER since 2001,;New Orleans;Epidemiology Program, School of Public Health;Louisiana State University Health Sciences Center;;;2020 Gravier Street;3rd Floor;70112-1272;America North;USA;USA
ANUSALAN;N Louisiana;V;308;North Louisiana Regional Tumor Registry;byargeon@ulm.edu;(1) 318 342 1840;(1) 318 342 1824;NULL;Covered by ANUSALAA;Monroe;NULL;University of Louisiana at Monroe;NULL;NULL;700 University Ave.;CNSB Room 226;71209;America North;USA;USA
ANUSAMAI;Maine;V;311;Maine Cancer Registry;NULL;(1) 207 287 5196;(1) 207 287-5470;http://www.maine.gov/dhhs/mecdc/public-health-systems/data-research/vital-records/mcr/;NULL;Augusta;Department of Health and Human Services;;;State House Station 11;Data, Research and Vital Statistics;220 Capitol Street;4333;America North;USA;USA
ANUSAMAR;Maryland;V;312;Maryland Cancer Registry;kimberly.stern@maryland.gov;(1) 410 767 5512;(1) 410 333 5218;https://phpa.health.maryland.gov/cancer/Pages/mcr_home.aspx;NULL;Baltimore;Department of Health ;Prevention and Health Promotion Administration;Center for Cancer Prevention and Control;;201 West Preston Street, room 400;;21201;America North;USA;USA
ANUSAMAS;Massachusetts;V;313;Massachusetts Cancer Registry;susan.gershman@state.ma.us;(1) 617 624 5646;(1) 617 624 5695;https://www.mass.gov/massachusetts-cancer-registry;Covers ANUSMG. The Massachusetts Cancer Registry (MCR) collects information on all newly diagnosed cases of cancer in the state. On web go to Home > Government > Departments and Divisions > Department of Public Health > Programs and Services K - S >;Boston;Office of Data Management and Outcome Assessment (ODMOA);Massachusetts Department of Public Health (DPH);;;250 Washington Street, 6th floor;;02108-4619;America North;USA;USA
ANUSAMIC;Michigan;V;314;Michigan Cancer Surveillance Program;NULL;(1) 517 335 8677;(1) 517 335 9513;https://www.michigan.gov/mdhhs/0,5885,7-339-71551_2945_5221-16586--,00.html;Covers ANUSAMID;Lansing;Michigan Dept of Community Health;Division for Vital Records and Health Statistics;Michigan Cancer Surveillance Program;P.O. Box 30691;201 Townsend Street;NULL;48913;America North;USA;USA
ANUSAMID;Detroit;V;315;Metropolitan Detroit Cancer Surveillance System (MDCSS);schwarta@med.wayne.edu;(1) 313 578 4201;(1) 313 578 4306;http://research1.karmanos.org/epid/;Covered by ANUSAMIC;Detroit;Epidemiology Section;Karmanos Cancer Institute;Wayne State University School of Medicine, Dept. of Oncology;NULL;4100 John R Street MM04EP;NULL;48201;America North;USA;USA
ANUSAMIN;Minnesota;V;316;Minnesota Cancer Surveillance System (MCSS);health.mcrs@state.mn.us;(1) 651 201 5900;(1) 651 201 5926;http://www.health.state.mn.us/divs/hpcd/cdee/mcss/;REMOVE sally.bushhouse@health.state.mn.us;St. Paul;Health Promotion and Chronic Disease;Minnesota Department of Health;;PO Box 64332;85 E 7th Place;;55164-0882;America North;USA;USA
ANUSAMIP;Mississippi;V;317;Mississippi Cancer Registry;dbrogers@umc.edu;(1) 601 815 5479;(1) 601 815 5483;http://mcr.umc.edu/index.html;NULL;Jackson;NULL;Cancer Research & Registry;University of Mississippi Medical Center;NULL;Room MK-1001;350 W. Woodrow Wilson Drive;39213;America North;USA;USA
ANUSAMIR;Missouri;V;318;Missouri Cancer Registry and Research Center;jacksonthompsonj@health.missouri.edu;(1) 573 882 7775;(1) 573 884 9655;http://mcr.umh.edu;NULL;Columbia;Department of Health Management & Informatics;School of Medicine;University of Missouri;NULL;401 Clark Hall;NULL;65211;America North;USA;USA
ANUSAMTA;Montana;V;319;Montana Cancer Control Programs;dlemons@mt.gov;(1) 406 444 6786;(1) 406 444 6557;www.cancer.mt.gov;NULL;Helena;Cancer Surveillance and Epidemiology Program;Department of Public Health and Human Services;NULL;P.O. Box 202952;1400 Broadway, Room C-317;NULL;59620-2952;America North;USA;USA
ANUSANBA;Nebraska;V;320;Nebraska Cancer Registry;DHHS.PublicHealthStatistics@nebraska.gov;(1) 402 471 2241;(1) 402 471 9728;;Lei.Zhang@nebraska.gov - email not valid Nov 2015;Lincoln;;Nebraska Department of Health and Human Services;;P.O. Box 95026;302 Centennial Nall South;;68509-5026;America North;USA;USA
ANUSANDA;Nevada;V;321;Nevada Central Cancer Registry;cpool@health.nv.gov;17 756 843 221;17 756 845 999;http://dpbh.nv.gov/Programs/NCCR/Nevada_Central_Cancer_Registry_(NCCR)_-Home/;NULL;Carson City;Division of Public and Behavioral Health, Office of Public Health Informatics and Epidemiology;Nevada Department of Health and Human Services;;;4126 Technology Way. Suite 200;;NV 8706;America North;USA;USA
ANUSANEH;New Hampshire;V;322;New Hampshire State Cancer Registry;Judith.R.Rees@dartmouth.edu;(1) 603 653 6630;(1) 603 653 6699;https://geiselmed.dartmouth.edu/nhscr/;NULL;Hanover;c/o Dartmouth College;NULL;NULL;P.O. Box 186;NULL;NULL;3755;America North;USA;USA
ANUSANEJ;New Jersey;V;323;New Jersey State Cancer Registry;lisa.paddock@doh.nj.gov;;;;;;;;;;;;;America North;USA;USA
ANUSANEM;New Mexico;V;324;New Mexico Tumor Registry;cwiggins@salud.unm.edu;;;;;;;;;;;;;America North;USA;USA
ANUSANEY;New York State;V;325;New York State Cancer Registry;NYSCR@health.state.ny.us;(1) 518 474 2255;(1) 518 473 6789;http://www.health.ny.gov/statistics/cancer/registry/;NULL;Albany;Bureau of Cancer Epidemiology;N.Y. State Department of Health;NULL;NULL;Riverview Center - Suite 361;150 Broadway;12204-2719;America North;USA;USA
ANUSAOHI;Ohio;V;327;Ohio Cancer Incidence Surveillance System;OCISS@odh.ohio.gov;NULL;NULL;https://odh.ohio.gov/wps/portal/gov/odh/know-our-programs/ohio-cancer-incidence-surveillance-system/welcome-to;OCISS@odh.ohio.gov;Columbus;OCISS;Ohio Department of Health;NULL;NULL;246 N. High Street;NULL;NULL;America North;USA;USA
ANUSAOKL;Oklahoma;V;328;Oklahoma Central Cancer Registry;NULL;(1) 405 271 6225;(1) 405 271 9061;https://www.ok.gov/health/Wellness/Chronic_Disease_Service/Cancer/Oklahoma_Central_Cancer_Registry/;NULL;Oklahoma City;NULL;Oklahoma State Department of Health;Center for Health Statistics;NULL;1000 NE 10th;NULL;73117;America North;USA;USA
ANUSAORE;Oregon;V;329;Oregon State Cancer Registry;oscar.ohd@state.or.us;;;;;;;;;;;;;America North;USA;USA
ANUSAPEN;Pennsylvania;V;330;Pennsylvania Cancer Registry;;(1) 717 783 2548;(1) 866 531 8238;https://www.health.pa.gov/topics/Reporting-Registries/Cancer-Registry/Pages/Cancer%20Registry.aspx;NULL;Harrisburg;;Pennsylvania Department of Health;;;6th Floor;555 Walnut Street;17101-1914;America North;USA;USA
ANUSARIS;Rhode Island;V;331;Rhode Island Cancer Registry;Junhie.Oh@health.ri.gov;(1) 401 222 4577;NULL;http://www.health.ri.gov/data/cancer/;Since March 2017, I have succeed John who retired from the State Cancer Administrator.  Junhie Oh, Rhode Island Cancer Registry, Administrator/Epidemiologist, Senior Public Health Epidemiologist;Providence;Rhode Island Department of Health;NULL;NULL;NULL;3 Capitol Hill, Room 201;NULL;02908-5097;America North;USA;USA
ANUSATNN;Tennessee;V;332;Tennessee Cancer Registry;TNCancer.Registry@tn.gov;800-547-3558;;https://www.tn.gov/health/health-program-areas/tcr.html;NULL;Nashville;Department of Health;State of Tennessee;;;Andrew Johnson Tower, 2nd Floor;710 James Robertson Parkway;37243;America North;USA;USA
ANUSATXS;Texas;V;333;Texas Cancer Registry;CancerData@dshs.texas.gov;512-776-3080;512-776-7681;http://www.dshs.texas.gov/tcr/;NULL;Austin;Cancer Epidemiology and Surveillance Branch MC 1928;Texas Department of State Health Services;;P.O. Box 149347;;;78714-9347;America North;USA;USA
ANUSAUTA;Utah;V;334;Utah Cancer Registry;Utah_SEER_PI@hsc.utah.edu;(1) 801 581 8407;(1) 801 581 4560;http://uofuhealth.utah.edu/utah-cancer-registry;Utah Cancer Registry moved as of 6/21/2018 (addressed updated)-Nan Stroup is the primary contact - Rosemary Dibble remains as the secondary contact;Salt Lake City;;University of Utah;;;250 East 200 South, Suite 1375;;84111;America North;USA;USA
ANUSAVER;Vermont;V;335;Vermont Cancer Registry;Alison.Johnson@vermont.gov;(1) 802 863 7644;(1) 802 652 4157;http://www.healthvermont.gov/health-statistics-vital-records/registries/cancer;NULL;Burlington;Vermont Department of Health;NULL;NULL;NULL;108 Cherry Street;NULL;5402;America North;USA;USA
ANUSAVIR;Virginia;V;336;Virginia Cancer Registry;Nikkia.Ray@vdh.virginia.gov;804-864-7249;(1) 804 864 7870;hhttp://www.vdh.virginia.gov/virginia-cancer-registry/;NULL;Richmond;Virginia Cancer Registry;Virginia Department of Health;;;109 Governor Street, 10th floor;;23219;America North;USA;USA
ANUSAVIW;W Virginia;V;337;West Virginia Cancer Registry;myra.n.fernatt@wv.gov;(304) 356-4953;(304) 558-4463;www.cancerregistry.wv.gov;NULL;Charleston;Department of Health and Human Resources;Bureau for Public Health;;;350 Capitol Street, Room 125;;25301-3715;America North;USA;USA
ANUSAWAS;Washington;V;338;Washington State Cancer Registry;Patti.MiglioreSantiago@doh.wa.gov;(1) 360 236 3685;(1) 360 586 2714;https://fortress.wa.gov/doh/wscr;Covers ANUSAWE Oct 2017: The name of the registry director is Patti Migliore Santiago.  David Harrelson is no longer our program manager for the Washington State Cancer Registry- Keitheri Cheteri, Mahesh  (DOH) <Mahesh.KeitheriCheteri@DOH.WA.GOV;Tumwater;Washington State Department of Health, Cancer Prevention and Control Unit;Washington State Department of Health;NULL;P.O. Box 47882;310 Israel RD SE;NULL;98504-7835;America North;USA;USA
ANUSAWEW;WW Seattle;V;340;Seattle-Puget Sound Registry;sschwart@fhcrc.org;(1) 206 667 4660;(1) 206 667 5948;https://seer.cancer.gov/registries/sps.html;Covered by ANUSAWA. 13 counties;;;;;;;;;America North;USA;USA
ANUSAWIS;Wisconsin;V;341;Wisconsin Cancer Reporting System;jeffrey.bond@dhs.wisconsin.gov;NULL;(1) 608 266 2431;http://www.dhs.wisconsin.gov/wcrs/index.htm;Jeff Bond transitioned into the data manager back in October and now assumes the lead role in managing the cancer registry’s data.;Madison;Department of Health Services;Wisconsin Division of Public Health;NULL;P.O. Box 2659;1 W Wilson St Room 118;NULL;53703;America North;USA;USA
ANUSAWYO;Wyoming;V;342;Wyoming Cancer Surveillance Program;;(1) 307 777 3477;(1) 307 777 3419;https://health.wyo.gov/publichealth/chronic-disease-and-maternal-child-health-epidemiology-unit/cancer-surveillance/;NULL;Cheyenne;;Wyoming Cancer Surveillance Program;;;6101 Yellowstone Rd., #510;Cheyenne;Wyoming;America North;USA;USA
ASAZE10;Azerbaijan;V;1242;Azerbaijan National Cancer Registry;internationalnoc@gmail.com;994 125 370 811;;www.mom.gov.az;NULL;Baku;National Oncology Center of Ministry of Health;;;;79B, H. Zardabi str.,;;AZ1011;Asia;AZERBAIJAN;Azerbaijan
ASBAH10;Bahrain;V;345;Bahrain Cancer Registry;NALi5@health.gov.bh;(973) 17286059;(973) 17286051;;NULL;Manama;Medical Review Office;Ministry of Health;;P.O. Box 12;;;;Asia;BAHRAIN;Bahrain
ASBRU10;Brunei;V;347;Brunei Darussalam Cancer Registry;sokking.ong@moh.gov.bn;;;;Update fr Dr Ong Sok King 2017 Sept;Bandar Seri Begawan;Public Health Epidemiology Division;Public Health Services;Ministry of Health Brunei Darussalam;;Commonwealth Drive;;BB 3910;Asia;BRUNEI;Brunei
ASCHI11;NCCR;V;349;Chinese Cancer Registry & Surveillance Committee;zhengrongshou@cicams.ac.cn;+86 10 6776 7652;+86 10 6771 8227;;/md;Beijing;National Office for Cancer Prevention and Control National Central Cancer Registry;Cancer Institute;Chinese Academy of Medical Sciences;;17 Pan-Jia-Yuan South Lance;Chaoyang District;100021;Asia;CHINA;China
ASCHIANS;Anshan;V;352;Anshan Cancer Registry;mbkzouqingchun@163.com;(86) 0412 5563148;(86) 0412 5546023;NULL;NULL;Anshan;NULL;NULL;NULL;NULL;The 58 Dongshan Avenue;Tiedong District;NULL;Asia;CHINA;China
ASCHIBAO;Baoding;V;1131;Baoding Cancer Registry;bdjkmbk@163.com;8 603 123 353 038;8 603 123 353 038;;Application for voting membership approved 2017;Baoding;Baoding Cancer Registry;Baoding Cancer Registry;;;No.750 Dongfeng Road Baoding County.Hebei Province;;71000;Asia;CHINA;China
ASCHIBEI;Beijing;V;353;Beijing Cancer Registry;careg@163.com;861 088 196 725;861 088 196 771;NULL;NULL;Beijing;Beijing Office for Cancer Prevention and Control;Beijing Cancer Hospital;Beijing Institute for Cancer Research;NULL;No.52 Fu-Cheng Road;Haidian District;1000142;Asia;CHINA;China
ASCHICAN;Cangwu;V;354;Tumor Registry of Cangwu;NULL;(86) 0774 268 2510;(86) 0774 268 2510;NULL;NULL;Wuzhou;NULL;NULL;NULL;NULL;FengLing Street, 21;LongXu Town;NULL;Asia;CHINA;China
ASCHICHO;Chongqing;V;356;Chongqing Municipal Center for Disease Control;NULL;(86) 23 6880 3852;(86) 23 6880 3303;NULL;NULL;Chongqing;NULL;Chongqing Municipal Center for Disease Control;NULL;NULL;No. 8 Road Chang Jiang 2;NULL;400042;Asia;CHINA;China
ASCHICHU;Chuzhou;V;357;Cancer Registry of Huaian District,Huaian City;suminglala@aliyun.com;(86) 0517 85988976;(86) 0517 85912070;;NULL;Huai’an;Office of Cancer Control and Prevention;Cancer Registry;;;84 Zhenhuailou Road (East),Huaian District, Huaian;;223200;Asia;CHINA;China
ASCHICIX;Cixian;V;358;Cixian County Cancer Registry;sghui2009@163.com;-2336139;NULL;NULL;NULL;Handan;Cixian County Cancer Institute;Cixian County Cancer Institute;NULL;NULL;No.15 Cizhou Road Cixian County.Hebei Province;NULL;56500;Asia;CHINA;China
ASCHIDAF;Dafeng;V;359;Dafeng Center for Disease Control and Prevention;dfcdc2011@163.com;(86) 0515 83285579;(86) 0515 83285577;;NULL;Nanjing;Department of Non-communicable Disease Control;Dafeng Center for Disease Control and Prevention;;;68 Xinfuxidajie,Dafeng District;;210009;Asia;CHINA;China
ASCHIDAL;Dalian;V;360;Dalian Cancer Registry;NULL;86-411-84335913;86-411-84335913;NULL;xiangxiang1996@yahoo.com.cn - email not valid;Dalian;NULL;NULL;NULL;NULL;Shahekou District;78 Taiyuan Street;NULL;Asia;CHINA;China
ASCHIFEI;Feicheng;V;361;Fei Cheng Cancer Registry;fczdl61@163.com;0086-0538-3210065;;;IACR Member 2016;Fei Cheng;;;;;;;;Asia;CHINA;China
ASCHIFUJ;Fujian;V;362;Fujian Provincial Office for Prevention & Treatment of Cancer (Changle);NULL;(86) 591 365 5043;(86) 591 392 8767;NULL;NULL;Fuzhou;Fujian Provincial Office for Prevention & Treatment of Cancer (Changle);Fujian Provincial Tumor Hospital;NULL;NULL;Fengban, Fuma Road;NULL;350014;Asia;CHINA;China
ASCHIGUA;Guangzhou;V;363;Guangzhou Cancer Registry;szk@gzcdc.org.cn;(86) 20 3605 5855;(86) 20 3605 5856;http://www.gzcdc.org.cn/Cancersearch/index.html;IACR Membership 2016;Guangzhou;Biostatistics and Cancer Registration Section;Guangzhou Center for Disease Control and Prevention;;;No.1, Qide Rd, Jiahe, Baiyun;;510440;Asia;CHINA;China
ASCHIHAE;Haimen;V;364;Haimen Cancer Registry;28989298@qq.com;(86) 513 822 58721;(86) 513 822 12032;;hzjw99@yahoo.com.cn - email not valid;Nantong;;;;;520, Ren Min Xi Road;;226100;Asia;CHINA;China
ASCHIHAG;Haining;V;365;Haining City Cancer Registry;hnzlyjs@126.com;;;;;;;;;;;;;Asia;;
ASCHIHAH;Hangzhou;V;366;Hangzhou Cancer Registry;176057528@qq.com;(86) 571 86908369;(86) 571 86908369;www.hzcdc.net;NULL;Hangzhou;Non-communicable chronic disease department;Hangzhou Center for Disease Control and Prevention;;;mingshi  Road;Jianggan county;310021;Asia;CHINA;China
ASCHIHEB;Hebei;V;1245;Hebei Provincial Cancer Registry;hytong69@yahoo.com;0311-86095613;0311-86095613;50011;NULL;Shijiazhuang;河北医科大学第四医院;Cancer Institute - Fourth Hospital of Hebei Medical University;;;No. 12 Jiankang Road;;;Asia;CHINA;China
ASCHIHKG;Hongkong;V;367;Hong Kong Cancer Registry;cancereg@ha.org.hk;(852) 3506 6021;(852) 3506 5559;www3.ha.org.hk/cancereg;NULL;Hong Kong;c/o Department of Clinical Oncology;Queen Elizabeth Hospital;;;30 Gascoigne Road;Kowloon;;Asia;CHINA;China
ASCHIJIS;Jiashan;V;369;Jiashan County Cancer Registry;lql642396@qq.com;(86) 573 84024016;(86) 573 84023280;;zls@ws.js.zj.cn invalid;Suzhou;;;;;345 Jiefang east road;;314100;Asia;CHINA;China
ASCHIJIX;Jiaxing;V;370;Jiaxing Cancer Registry;xqli04@163.com;(86) 573 8393 5316;(86) 573 8393 5302;NULL;NULL;Jiaxing;NULL;Jiaxing Center for Disease Control and Prevention;NULL;NULL;No. 486 Wen Qiao Road;NULL;314050;Asia;CHINA;China
ASCHILIZ;Linzhou;V;373;Linzhou Cancer Registry;lzzlfb@126.com;(86) 372 609 3021;(86) 372 687 8037;;NULL;Anyang;;Linzhou Cancer Hospital ;;;Chang An Zhong Road, Linzhou,China;;456550;Asia;CHINA;China
ASCHIMAC;Macao;V;374;Macao Cancer Registry;cdc@ssm.gov.mo;85 328 533 525;85 328 533 524;;NULL;Macau;Center for Disease Control and Prevention ;Health Bureau, Government of Macao SAR(China);;P.O. box 3002;;;;Asia;CHINA;China
ASCHINAN;Nangang;V;375;Epidemic Prevention Station of Nan Gang District;ngqmanbing@163.com;(86) 451 86243578;(86) 451 8622 1502;;NULL;Harbin;Chronic disease department;;;;;;;Asia;;
;Epidemic Prevention Station of Nan Gang District;;;Wen Chang Street 225;Nan Gang District;150040;Asia;CHINA;China;;;;;;;;;Asia;;
ASCHISHE;Shenzhen;V;378;Shenzhen Cancer Registry;szleilin@qq.com;(86) 755 2562 8979;(86) 755 2562 8979;;NULL;Shenzhen;;;;;2021 Buxin Road, Luohu;;518020;Asia;CHINA;China
ASCHISHX;Shexian;V;379;Shexian Cancer Registry;wshjw136@163.com;(86) 311 86095337;(86) 311 8607 7634;;NULL;Shijiazhuang;Epidemiology;4th hospital of Hebei medical university;Hebei Cancer Institute;50011;Jiankang Lu 12;;50011;Asia;CHINA;China
ASCHISIH;Sihui;V;380;Sihui Cancer Registry;gdshci@163.com;(86) 758 332 7195;(86) 758 333 7982;;NULL;Sihui;;;;526200;113 Zhong Shan Road;;526200;Asia;CHINA;China
ASCHITAW;Taiwan;V;382;Taiwan Cancer Registry;crs@cph.ntu.edu.tw;(886) 2 2351 2024;(886) 2 2351 1733;http://tcr.cph.ntu.edu.tw/main.php?Page=A1;Review the 'I' membership - ESF Sept 2011;Taipei;;;;84-310;;;;Asia;CHINA;China
ASCHITIA;Tianjin;V;383;Tianjin Cancer Registry;canregtjcdc@163.com;(86) 22 24333559;(86) 22 24333556;NULL;NULL;Tianjin;Non-Communicable Disease Surveillance and Vital Statistics;Tianjin Centers for Disease Control and Prevention;NULL;NULL;No.6 Hua-Yue Road;Hedong District;300011;Asia;CHINA;China
ASCHIWUH;Wuhan;V;384;Wuhan Cancer Registry;545655042@qq.com;(86) 27 8580 1798;;;whcdc@public.wh.hb.cn invalid;Wuhan;;Wuhan Centers for Disease Prevention and Control;;;24# Jiang Han North Road;;430015;Asia;CHINA;China
ASCHIYTI;Yanting;V;388;Yanting Cancer Registry;scytzlyjs@163.com;(86) 816 7220081;(86) 816 7222054;www.ytzlyy.com;NULL;Yunxi Town;Epidemiology laboratory;Yanting Cancer Institute;Yanting cancer prevention center &Cancer hospital;;31, hongshi Road;Yanting County;621600;Asia;CHINA;China
ASCHIZBBCF;China;V;389;Hong Kong Breast Cancer Registry;amychan@hkbcf.org;(852) 3143 7304;(852) 2525 6233;www.hkbcf.org;NULL;Hong Kong;NULL;Hong Kong Breast Cancer Foundation Limited (HKBCF);NULL;NULL;22/F Jupiter Tower;No. 9 Jupiter Street - North Point;NULL;Asia;CHINA;China
ASCHIZHO;Zhongshan;V;390;Zhongshan Cancer Registry;weikr@sina.com;8 676 088 822 698;8 676 088 822 698;;NULL;Zhongshan;;Zhongshan Cancer Registry;;;2#, East-Sun-Wen Road;Shi Qi District，Zhongshan City;528400;Asia;CHINA;China
ASGEO10;Georgia;V;391;Georgia National Cancer Centre;njokhadze@gmail.com;9,95E+11;9,95E+11;www.onc.org.ge;NULL;Tbilisi;National Cancer Center;Cancer Control Department;;;Lisi Lake;;177;Asia;GEORGIA;Georgia
ASIND11;India;V;392;National Cancer Registry Programme;ncdir@ncdirindia.org;919 449 033 748;+91 80 28467644;www.ncdirindia.org;RS: Covers Dindigul, Barshi, Bangalore, Bhopal, Kolkatta, Delhi, Chennai, Mumbai, Tripura and 2017 May: ncrp@ncrpindia.org: this email account will be discontinued soon. The emails to be sent to ncdir@ncdirindia.org;Bangalore;ICMR Complex, Bangalore-562110;National Centre for Disease Informatics and Research;Indian Council of Medical Research, Govt of India;NULL;II Floor of Nirmal Bhawan, ICMR Complex;"Poojanahalli Road, Off NH-7, 	Kannamangala Post,";562110;Asia;INDIA;India
ASIND80;ICMR;V;394;Indian Council for Medical Research (Unit of Regional Cancer Centre, Trivandrum);kaurt@icmr.org.in;(91) 11 69 66 181;(91) 11 69 66 181;NULL;Email received from Bela Sha: Dr Tanveer Kaur is now looking after this program;New Delhi;Unit of Regional Cancer Centre, Trivandrum;Indian Council for Medical Research;NULL;P.O. Box 4911;Ansari Nagar;NULL;110 029;Asia;INDIA;India
ASINDAHM;Ahmedabad;V;402;Rural Cancer Registry - Ahmedabad district;pbcrahmedabad@gmail.com;;;;;;;;;;;;;Asia;;
ASINDAUR;Aurangabad;V;404;Aurangabad Cancer Registry;NULL;(91) 22 2412 2351;(91) 22 2412 2351;NULL;bcrics@vsnl.com Invalid email address/md;Mumbai;c/o Mumbai Cancer Registry;NULL;NULL;NULL;74 Jerbai Wadia Rd;Parel;400 012;Asia;INDIA;India
ASINDBAN;Bangalore;V;405;Bangalore Population Based Cancer Registry;NULL;8026094022;8026560723;www.kmio.org;RS: in National vijuforstat@gmai.com Invalid email address/md;Bangalore;Department of Epidemiology and Biostatistics;Kidwai Memorial Institute of Oncology;NULL;Dr. MH Marigowda Road;NULL;NULL;560029;Asia;INDIA;India
ASINDBAR;Mumbai;V;406;Rural Cancer Registry Barshi;barshiexp_registry@rediff.com;9,12E+11;9,12E+11;www.ndmch.org;RS: in National;Barshi;;NARGIS DUTT MEMORIAL CANCER HOSPITAL BARSHI;;;AGAALGAON ROAD;;413401;Asia;INDIA;India
ASINDBHO;Bhopal;V;407;Population Cancer Registry Bhopal;deangmc_bpl@yahoo.co.in;;;;;;;;;;;;;Asia;;
ASINDCHE;Chennai;V;409;Madras Metropolitan Tumour Registry;registry@cancerinstitutewia.org;(91) 44 22350131 / 340;(91) 44 22354508;;RS: was Madras, in National;Chennai;Epidemiology, Biostatistics and Cancer Registry;Cancer Institute (W.I.A.);;;38, Sardar Patel Road;;600036;Asia;INDIA;India
ASINDDIN;DACR;V;412;Dindigul Ambilikkai Cancer Registry;dacr.cfchc@yahoo.co.in;914 553 249 072;914 553 249 413;;NULL;Ambilikkai;;Christian Fellowship Community Health Centre;Cancer Institute (WIA);;Dharapuram Road;Shanthi Nagar;624612;Asia;INDIA;India
ASINDDIR;Dindigul;V;413;Dindigul Rural Cancer Registry;rajcfchc@gmail.com;(91) 4553 40250 / 49064;(91) 4553 41255 / 40382 / 416 272354;https://canceratlasindia.org/centerMap.htm#centreMap;Now part of ASINDDIN;Ambillikai;NULL;Christian Fellowship Community Health Centre;NULL;NULL;Dindigul District;NULL;624 612;Asia;INDIA;India
ASINDKAR;Karunagappally;V;415;Karunagappaly Cancer Registry;nbrrkply@gmail.com;(91) 476 2671833;;;Years 1990-2005, expanded to ASINDKOM from 2006.;Neendakara, Karunagappally;Regional Cancer Centre, Thiruvananthapuram;Natural Background Radiation Registry (NBRR);NULL;;Puthenthura PO, Neendakara;Kollam District;691588;Asia;INDIA;India
ASINDMIZ;Mizoram;V;419;Mizoram Population-Based Cancer Registry;mizorampbcr@gmail.com;(91) 389 231 6570;(91) 389 230715;;NULL;Aizawl;Dept. of Pathology;Civil Hospital;Govt of Mizoram;;;;796 001;Asia;INDIA;India
ASINDMUM;Mumbai;V;420;Mumbai Cancer Registry;shravani@indiancancersociety.org;(91) 22 2412 2351;(91) 22 2412 2351;www.indiancancersociety.org;Jjoannie: in National;Mumbai;Indian Cancer Society;NULL;;;74 Jerbai Wadia Road;Parel;400012;Asia;INDIA;India
ASINDNAG;Nagpur;V;421;Nagpur Cancer Registry;shravani@indiancancersociety.org;(91) 22 2412 2351;;www.indiancancersociety.org;bcrics@vsnl.com Invalid e-mail address/md;Mumbai;Indian Cancer Society;;;;74 Jerbai Wadia Road;Parel;400012;Asia;INDIA;India
ASINDPOO;Poona;V;422;Poona Cancer Registry;NULL;(91) 22 2412 2351;(91) 22 2412 2351;www.indiancancersociety.org;bcrics@vsnl.com Invalid e-mail address/md;Mumbai;INDIAN CANCER SOCIETY;;;;75 Jerbai Wadia Rd;Parel;400 012;Asia;INDIA;India
ASINDTRI;Trivandrum;V;424;Trivandrum Cancer Registry;aleyammamathewrcc@gmail.com;(91) 471 2522249;(91) 471 2550782;http://www.rcctvm.gov.in/;RS: in National.;Thiruvananthapuram;Division of Cancer Registry, Regional Cancer Centre, Thiruvananthapuram, Kerala;Regional Cancer Centre;Trivandrum;P.O. Box 2417;Medial College;;695011;Asia;INDIA;India
ASINDWAR;Wardha;V;426;Wardha District Population-based Cancer Registry;nitingangane@rediffmail.com;(91) 71 5228 4955;NULL;NULL;NULL;Maharashtra;Dept. of Pathology;MGIMS;NULL;NULL;Dist. Wardha;NULL;442 102;Asia;INDIA;India
ASINE10;Indonesia;V;427;Indonesian National Cancer Registry;evlinass@gmail.com;(62) 24 413476, ext 388;(62) 24 311273;NULL;Ministry of Health assigned me as Head of  Indonesian National Cancer Registry - Dr Evlina Suzanna - 2018 07 27;Jakarta;Indonesian National Cancer Registry - NCC Indonesia;NULL;Dharmais National Cancer Hospital in Jakarta;NULL;JL. Dr. Sutomo 18;NULL;NULL;Asia;INDONESIA;Indonesia
ASINEYOG;Yogyakarta;V;430;Yogyakarta Cancer Registry;canreg.fkkmk@ugm.ac.id;;;https://canreg.fk.ugm.ac.id/;NULL;Yogyakarta;Faculty of Medicine, Public Health and Nursing;Universitas Gadjah Mada;;;;Jl.Farmako Sekip Utara;55281;Asia;INDONESIA;Indonesia
ASIRN10;Iran;V;431;Iranian National Population-based Cancer Registry (INPCR);grcgh@goums.ac.ir;;;;;;;;;;;;;Asia;;
ASIRN7M;Masih Daneshvari Hospital;V;433;Masih Daneshvari Hospital Cancer Registry;NULL;+98 21 27122029/+982127122054;+98 21 26109484;NULL;emamihabib@nritld.ac.ir Invalid email address/md;Tehran;NULL;Masih Daneshvari Hospital ;NULL;PO Box 19575/154;Shaheed Bahonar Ave.;NULL;19556;Asia;IRAN;Iran
ASIRN80;Bushehr University;V;434;Bushehr University of Medical Sciences and Health Services;mrfarzaneh@yahoo.com;(98) 771 2526189;(98) 771 2528500;NULL;NULL;Bandar-e Būshehr;NULL;NULL;NULL;NULL;Moalem Street;NULL;NULL;Asia;IRAN;Iran
