name;membership;reg_link;name;url;city;department;continent;country_u;country
Daoli,Harbin;N;1136;Daoli District,Harbin Cancer Registry;;Harbin;Deparyment of Non-Communicable Diseases Prevention and Control;Asia;CHINA;China
Dazhu;N;1137;Dazhu Cancer Registry;;Dazhu County,Sichuan Province;Dazhu center for disease and control;Asia;CHINA;China
Dehui;N;1138;Dehui Cancer Registry;NULL;NULL;NULL;Asia;CHINA;China
Donghai;N;1139;Donghai Cancer Registry;;Donghai;Department of Chronic Disease Control and Prevention;Asia;CHINA;China
Feicheng;V;361;Fei Cheng Cancer Registry;;Fei Cheng;;Asia;CHINA;China
Fujian;V;362;Fujian Provincial Office for Prevention & Treatment of Cancer (Changle);NULL;Fuzhou;Fujian Provincial Office for Prevention & Treatment of Cancer (Changle);Asia;CHINA;China
Fusui;N;1140;Fusui Cancer Registry;;;;Asia;CHINA;China
Ganyu;N;1141;Ganyu Cancer Registry;;Lianyungang;Disease Prevention and Control;Asia;CHINA;China
Ganzhou, Zhangye;N;1142;Ganzhou District, Zhangye Cancer Registry;;;;Asia;CHINA;China
Gejiu;N;1143;Gejiu Cancer Registry;NULL;NULL;NULL;Asia;CHINA;China
Gongan;N;1144;Gongan Cancer Registry;;;;Asia;CHINA;China
Guangzhou;V;363;Guangzhou Cancer Registry;http://www.gzcdc.org.cn/Cancersearch/index.html;Guangzhou;Biostatistics and Cancer Registration Section;Asia;CHINA;China
Guanyun;N;1145;Guanyun Cancer Registry;;Yishan Town;Department of Chronic Disease Control and Prevention;Asia;CHINA;China
Guilin;N;1146;Guilin Cancer Registry;NULL;NULL;NULL;Asia;CHINA;China
Haimen;V;364;Haimen Cancer Registry;;Haimen;;Asia;CHINA;China
Haining;V;365;HainingCancer Registry;;Haining; ;Asia;CHINA;China
Hangzhou;V;366;Hangzhou Cancer Registry;www.hzcdc.net;Hangzhou;Non-communicable chronic disease department;Asia;CHINA;China
Hebei;V;1245;Hebei Provincial Cancer Registry;50011;Shijiazhuang;河北医科大学第四医院;Asia;CHINA;China
Hefei;N;1147;Hefei Cancer Registry;;Hefei;NCD prevention department;Asia;CHINA;China
Hengdong;N;1148;Hengdong Cancer Registry;;;;Asia;CHINA;China
Hepu;N;1149;Hepu Cancer Registry;;;;Asia;CHINA;China
Hongkong;V;367;Hong Kong Cancer Registry;www3.ha.org.hk/cancereg;Hong Kong;c/o Department of Clinical Oncology;Asia;CHINA;China
Huaian,Huaian;N;1202;Cancer Registry of Huaian District,Huaian;;Huaian- Huaian District;Office of Cancer Control and Prevention;Asia;CHINA;China
Huaiyin,Huaian;N;1203;Huaiyin District, Huaian Cancer Registry;;Huaian;Department of Chronic Noncommunicable disease control and prevention;Asia;CHINA;China
Huixian;N;1150;Huixian Cancer Registry;;Huixian;Department of Chronic Disease Control and Prevention;Asia;CHINA;China
Huzhu;N;1151;Huzhu Cancer Registry;;;;Asia;CHINA;China
Jiangmen;N;1152;Jiangmen Cancer Registry;;;;Asia;CHINA;China
Jianhu;U;368;Jianhu cancer registry;;yancheng;Jianhu County Center for Disease Control and Prevention;Asia;CHINA;China
Jianping;N;1153;Jianping Cancer Registry;;  Jianping ;The center for Disease Control and Prevention in Jianping;Asia;CHINA;China
Jiashan;V;369;Jiashan County Cancer Registry;;Weitang Town;;Asia;CHINA;China
Jiaxing;V;370;Jiaxing Cancer Registry;NULL;Jiaxing;NULL;Asia;CHINA;China
Jingtai;N;1154;Jingtai Cancer Registry;http://61.178.245.175/gszldj/Login.aspx;tiao shan town;Jingtai county center for disease control and prevention;Asia;CHINA;China
Jingxian;N;1155;Jingxian Cancer Registry;;Xuancheng;Department of chronic disease control and Prevention;Asia;CHINA;China
Jinhu;N;1200;Jinhu Cancer Registry;;;;Asia;CHINA;China
Jiyuan;N;1157;Jiyuan Cancer Registry;;Jiyuan;Department of Chronic Disease Prevention;Asia;CHINA;China
Junan;N;1158;Junan Cancer Registry;;;;Asia;CHINA;China
Lanzhou;U;371;Lanzhou Cancer Registry;;Lanzhou;Center for Disease Control and Prevention in Lanzhou;Asia;CHINA;China
Lianshui;N;1159;Lianshui Cancer Registry;;Lianshui;Prevention and control of chronic non-communicable diseases department;Asia;CHINA;China
Lianyungang;N;1160;Lianyungang Cancer Registry;;Lianyungang;Department of Chronic Disease Control and Prevention;Asia;CHINA;China
Lingbi;N;1161;Lingbi Cancer Registry;NULL;NULL;NULL;Asia;CHINA;China
Linqu;U;372;Linqu Cancer Registry;NULL;NULL;NULL;Asia;CHINA;China
Lintan;N;1162;Lintan Cancer Registry;;lintan county,Gannan;Lintan County Health Department;Asia;CHINA;China
Linzhou;V;373;Linzhou Cancer Registry;;Linzhou;;Asia;CHINA;China
Liuzhou;N;1163;Liuzhou Cancer Registry;NULL;NULL;NULL;Asia;CHINA;China
Luoshan;N;1164;Luoshan Cancer Registry;;Luoshan;Department of Chronic Disease Control and Prevention;Asia;CHINA;China
Luoyang;N;1165;Luoyang Cancer Registry;;Luoyang;Luoyang Center for Disease Prevention and Control;Asia;CHINA;China
Lushan;N;1166;Lushan Cancer Registry;NONE;Lushan;Department of Chronic Disease Control and Prevention;Asia;CHINA;China
Maanshan;N;1167;Maanshan Cancer Registry;http://www.mascdc.net/;maanshan;Department of NCDS prevention;Asia;CHINA;China
Macao;V;374;Macao Cancer Registry;;Macao;Center for Disease Control and Prevention ;Asia;CHINA;China
Macheng;N;1168;Macheng Cancer Registry;;;;Asia;CHINA;China
Mayang;N;1169;Mayang Cancer Registry;NULL;NULL;NULL;Asia;CHINA;China
Nangang;V;375;Epidemic Prevention Station of Nan Gang District;;Harbin;"Chronic disease department

";Asia;CHINA;China
Neixiang;N;1170;Neixiang Cancer Registry;;Neixiang;Department of Chronic Disease Control and Prevention;Asia;CHINA;China
Pengzhou;N;1171;Pengzhou Cancer Registry;NULL;NULL;NULL;Asia;CHINA;China
Qidong;V;376;Qidong Cancer Registry;NULL;Qidong;Department of Epidemiology;Asia;CHINA;China
Qingyang,Chengdu;N;1172;Qingyang District,Chengdu Cancer Registry;NULL;NULL;NULL;Asia;CHINA;China
Shanghai;V;377;Shanghai Cancer Registry;http://wsj.sh.gov.cn/jbfk2/20180815/59577.html;Shanghai;Department of Cancer Control and Prevention;Asia;CHINA;China
Shangyu;N;1173;Shangyu Cancer Registry;;Shangyu;Chronic diseases prevention branch;Asia;CHINA;China
Shenqiu;N;1174;Shenqiu Cancer Registry;;Shenqiu;Division of Epidemiology;Asia;CHINA;China
Shenyang;N;1175;Shenyang Cancer Registry;;Shenyang;Section for Chronic Disease Control;Asia;CHINA;China
Shenzhen;V;378;Shenzhen Cancer Registry;;Shenzhen;;Asia;CHINA;China
Sheyang;N;1176;Sheyang County Center for Disease Control and Prevention  Chronic Diseases Prevention Branch;;;The Health and Family Planning Commission of Sheyang County;Asia;CHINA;China
Shifeng,Zhuzhou;N;1177;Shifeng District,Zhuzhou Cancer Registry;NULL;NULL;NULL;Asia;CHINA;China
Shexian;V;379;Shexian Cancer Registry;;Shijiazhuang;Epidemiology;Asia;CHINA;China
Sihui;V;380;Sihui Cancer Registry;;Sihui;;Asia;CHINA;China
Taiwan;N;381;Central Cancer Registry of Taiwan;NULL;Taipei;Department of Health;Asia;CHINA;China
Taiwan;V;382;Taiwan Cancer Registry;http://tcr.cph.ntu.edu.tw/main.php?Page=A1;Taipei;;Asia;CHINA;China
Tengzhou;N;1178;Tengzhou Cancer Registry;zhongguo，shangdongsheng，tengzhoushi;tengzhoushi;Tengzhou Center for disease prevention;Asia;CHINA;China
Tianjin;V;383;Tianjin Cancer Registry;NULL;Tianjin;Non-Communicable Disease Surveillance and Vital Statistics;Asia;CHINA;China
Tianshan,Wulumuqi;N;1179;Tianshan distric,Wulumuqi Cancer Registry;;;;Asia;CHINA;China
Tongling;N;1180;Tongling Cancer Registry;;Tongling;NCD prevention department;Asia;CHINA;China
Wenshang;N;1181;Wenshang Cancer Registry;NULL;NULL;NULL;Asia;CHINA;China
Wuan;N;1182;Wuan Cancer Registry;;handan ;Wuan center for disease control and prevention.;Asia;CHINA;China
Wufeng;N;1183;Wufeng Cancer Registry;NULL;NULL;NULL;Asia;CHINA;China
Wuhan;V;384;Wuhan Cancer Registry;;Wuhan;;Asia;CHINA;China
Wuwei;U;385;Wuwei Cancer Registry;;;;Asia;CHINA;China
Wuxi;N;1184;Wuxi Cancer Registry;;Wuxi ;Department of Health promotion;Asia;CHINA;China
Xianju;N;1185;Xianju Cancer Registry;;Xianju;Depart of Chronic non-communicable disease control and prevention;Asia;CHINA;China
Xining;N;1186;Xining Cancer Registry;;XINING;;Asia;CHINA;China
Xinyuan;N;1187;Xinyuan County Cancer Registry;;;Xinyuan County Center for Disease Control and Prevention;Asia;CHINA;China
Xiping;N;1188;Xiping Cancer Registry;;Xiping;Department of Chronic Disease Control and Prevention;Asia;CHINA;China
Yangcheng;N;386;Yang Cheng Cancer Registry;;Yang Cheng;Research Office;Asia;CHINA;China
Yangquan;N;1189;Yangquan Cancer Registry;;Yangquan;Office Department of Cancer Research;Asia;CHINA;China
Yangzhong;N;387;Yangzhong Cancer Registry;;Yangzhong;;Asia;CHINA;China
Yanji;N;1190;Yanji Cancer Registry;NULL;NULL;NULL;Asia;CHINA;China
Yanshi;N;1191;Yanshi Cancer Registry;none;Yanshi;Department of Chronic Disease Control;Asia;CHINA;China
Yanting;V;388;Yanting Cancer Registry;www.ytzlyy.com;Yunxi Town;Epidemiology laboratory;Asia;CHINA;China
Yinchuan;N;1192;Yinchuan Cancer Registry;NULL;NULL;NULL;Asia;CHINA;China
Yingdong, Fuyang;N;1193;Yingdong District, Fuyang Cancer Registry;http://www.ydcbc.com/;Yingdong District of Fuyang ;;Asia;CHINA;China
Yueyanglou;N;1194;Yueyanglou Cancer Registry;;Yueyang, Hunan Province;Department for Chronic disease prevention and control;Asia;CHINA;China
China;V;389;Hong Kong Breast Cancer Registry;www.hkbcf.org;Hong Kong;NULL;Asia;CHINA;China
Zhaoyuan;N;1195;Zhaoyuan Cancer Registry;;;Department for Chronic disease prevention and control;Asia;CHINA;China
Zhongshan;V;390;Zhongshan Cancer Registry;;Zhongshan ;;Asia;CHINA;China
Zhuanghe;N;1196;Zhuanghe Cancer Registry;NULL;NULL;NULL;Asia;CHINA;China
Zhuhai;N;1197;Zhuhai Cancer Registry;7562124209;zhuhai;Preventive health care department;Asia;CHINA;China
Zixing;N;1198;Zixing Cancer Registry;;;;Asia;CHINA;China
Zoucheng;N;1199;Zoucheng Cancer Registry;;;;Asia;CHINA;China
Georgia;V;391;Georgia National Cancer Centre;www.onc.org.ge;Tbilisi;National Cancer Center;Asia;GEORGIA;Georgia
India;V;392;National Cancer Registry Programme;www.ncdirindia.org;Bangalore;ICMR Complex, Bangalore-562110;Asia;INDIA;India
INDIA, 7 registries;U;1356;BAN, CHE, DEL, KOL, MUM, NAG & TRI for IICC-3;NULL;NULL;NULL;Asia;INDIA;India
Manipal Hospital;N;393;Manipal Hospital Cancer Registry;NULL;NULL;NULL;Asia;INDIA;India
ICMR;V;394;Indian Council for Medical Research (Unit of Regional Cancer Centre, Trivandrum);NULL;New Delhi;Unit of Regional Cancer Centre, Trivandrum;Asia;INDIA;India
Rajasthan Cancer Foundation;N;395;Rajasthan Cancer Foundation;NULL;Jaipur;NULL;Asia;INDIA;India
Malabar Cancer Care Society;N;396;Malabar Cancer Care Society;NULL;Kannur - 2;NULL;Asia;INDIA;India
Coimbator;N;397;PSG Institue of Medical Sciences - Coimbator;NULL;Coimbatore;NULL;Asia;INDIA;India
Jaipur;N;398;Bhagwan Maheveer Cancer Hospital & Research Centre (BMCHRC);NULL;Jaipur;NULL;Asia;INDIA;India
Barshi Cervical Screening;N;399;Barshi Cervical Cancer Screening Project;NULL;Mumbai;NULL;Asia;INDIA;India
Bihar;N;400;Regional Cancer Centre - Bihar;NULL;Patna;Oncology & Incharge;Asia;INDIA;India
Orissa;N;401;A.H. Regional Cancer Centre;NULL;Cuttack;Division of Gynaecologic Oncology;Asia;INDIA;India
Ahmedabad;V;402;Rural Cancer Registry - Ahmedabad district;;Ahmedabad;Department of Community Oncology and Medical Records;Asia;INDIA;India
Ahmedabad R;U;403;Rural Cancer Registry - Ahmedabad district;NULL;NULL;NULL;Asia;INDIA;India
Aurangabad;V;404;Aurangabad Cancer Registry;NULL;Mumbai;c/o Mumbai Cancer Registry;Asia;INDIA;India
Bangalore;V;405;Bangalore Population Based Cancer Registry;www.kmio.org;Bangalore;Department of Epidemiology and Biostatistics;Asia;INDIA;India
Barshi;V;406;Rural Cancer Registry Barshi;www.ndmch.org;Barshi;;Asia;INDIA;India
Bhopal;V;407;Population Cancer Registry Bhopal;;Bhopal;Department of Pathology;Asia;INDIA;India
Cachar;U;408;Population based Cancer Registry Cachar District;;Silchar;Department Of Pathology;Asia;INDIA;India
Chennai;V;409;Madras Metropolitan Tumour Registry;;Chennai;Epidemiology, Biostatistics and Cancer Registry;Asia;INDIA;India
Delhi;N;410;Delhi Cancer Registry;https://www.aiims.edu/en/delhi-cancer-registry.html;New Delhi;Dr. B.R.A. Institute Rotary Cancer Hospital;Asia;INDIA;India
Dibrugarh;U;411;Population based Cancer Registry Dibrugarh District;NULL;BARBARI, DIBRUGARH;NULL;Asia;INDIA;India
DACR;V;412;Dindigul Ambilikkai Cancer Registry;;Ambilikkai;;Asia;INDIA;India
Dindigul;V;413;Dindigul Rural Cancer Registry;https://canceratlasindia.org/centerMap.htm#centreMap;Ambillikai;NULL;Asia;INDIA;India
Kamrup;U;414;Population based Cancer Registry Kamrup Urban District;;Guwahati;Department of Pathology;Asia;INDIA;India
Karunagappally;V;415;Karunagappaly Cancer Registry;;Neendakara, Karunagappally;Regional Cancer Centre, Thiruvananthapuram;Asia;INDIA;India
Kolkata;N;416;Population Based Cancer Registry,Kolkata;NULL;Kolkata;Dept of Epidemiology &Biostatistics;Asia;INDIA;India
Kollam;U;417;Kollam Cancer Registry;;Karunagappally;Regional Cancer Centre, Thiruvananthapuram;Asia;INDIA;India
Karwar;U;1278;Karwar Cancer Registry;tmc.gov.in;MUMBAI;DEPARTMENT OF MEDICAL RECORDS, BIOSTATISTICS AND EPIDEMIOLOGY;Asia;INDIA;India
Manipur;U;418;Population Based Cancer Registry, Imphal;;IMPHAL;Department of Pathology;Asia;INDIA;India
Meghalaya;U;1230;Population Based Cancer Registry Meghalaya;;Shillong;Pathology;Asia;INDIA;India
Mizoram;V;419;Mizoram Population-Based Cancer Registry;;Aizawl;Dept. of Pathology;Asia;INDIA;India
Mumbai;V;420;Mumbai Cancer Registry;www.indiancancersociety.org;Mumbai;Indian Cancer Society;Asia;INDIA;India
Nagpur;V;421;Nagpur Cancer Registry;www.indiancancersociety.org;Mumbai;Indian Cancer Society;Asia;INDIA;India
Nagaland;U;1231;Nagaland Cancer Registry;;Kohima, Nagaland;Department of Pathology;Asia;INDIA;India
Poona;V;422;Poona Cancer Registry;www.indiancancersociety.org;Mumbai;INDIAN CANCER SOCIETY;Asia;INDIA;India
Ratnagiri;U;1075;Ratnagiri Cancer Registry;;;;Asia;INDIA;India
Sikkim;N;423;Population Based Cancer Registry, Sikkim;NULL;Gangtok;NULL;Asia;INDIA;India
Sindhudurg;U;1076;Sindhudurg Cancer Registry;;Sindhudurg;NULL;Asia;INDIA;India
Trivandrum;V;424;Trivandrum Cancer Registry;http://www.rcctvm.gov.in/;Thiruvananthapuram;Division of Cancer Registry, Regional Cancer Centre, Thiruvananthapuram, Kerala;Asia;INDIA;India
Tripura;N;1228;Tripura Population Based Cancer Registry;NA;Agartala;;Asia;INDIA;India
Vellore;N;425;Vellore Cancer Registry;NULL;Vellore;Department of Radiation Oncology;Asia;INDIA;India
Wardha;V;426;Wardha District Population-based Cancer Registry;NULL;Sevagram;Dept. of Pathology;Asia;INDIA;India
Indonesia;V;427;Indonesian National Cancer Registry;NULL;Jakarta;Indonesian National Cancer Registry - NCC Indonesia;Asia;INDONESIA;Indonesia
Indonesia Health;I;428;Indonesia Ministry of Health;NULL;Jakarta;Directorate General of Diseases Control and Environment Health;Asia;INDONESIA;Indonesia
Jakarta;U;429;Jakarta Cancer Registry;NULL;Jakarta;Research and Development Department, Cancer Registry Subdivision;Asia;INDONESIA;Indonesia
Yogyakarta;V;430;Yogyakarta Cancer Registry;https://canreg.fk.ugm.ac.id/;Yogyakarta;Faculty of Medicine, Public Health and Nursing;Asia;INDONESIA;Indonesia
Iran;V;431;Iranian National Population-based Cancer Registry (INPCR);;Tehran;INPCR secretariat, Cancer office, Center for Noncommunicable disease control, Deputy of Health;Asia;IRAN;Iran
Iran_P;U;432;National  cancer registry;;Tehran;Cancer control office;Asia;IRAN;Iran
Iran 2 registries;N;983;Ardabil, Golestan for IICC3;NULL;NULL;NULL;Asia;IRAN;Iran
Masih Daneshvari Hospital;V;433;Masih Daneshvari Hospital Cancer Registry;NULL;Tehran ;NULL;Asia;IRAN;Iran
Bushehr University;V;434;Bushehr University of Medical Sciences and Health Services;NULL;Bushehr;NULL;Asia;IRAN;Iran
Tehran University;I;435;Tehran University of Medical Sciences;NULL;Tehran;Department of Cancer Genetics and Cytogenetics;Asia;IRAN;Iran
Iran_Fem;I;436;Iranian Centre for Breast Cancer;NULL;Tehran;NULL;Asia;IRAN;Iran
Ardabil;V;437;Ardabil Province Cancer Registry;;Ardabil;Ardabil Province Health Center;Asia;IRAN;Iran
East Azerbaijan;V;1377;East Azerbaijan Population-Based Cancer Registry;http://www.eapbcr.tbzmed.ac.ir;Tabriz;Liver and Gastrointestinal Diseases Research Center;Asia;IRAN;Iran
Fars;I;438;Fars Province Cancer Registry;NULL;Shiraz;Department of Radiation and Oncology;Asia;IRAN;Iran
Golestan;V;439;Golestan Population-based Cancer Registry;http://goums.ac.ir/page/2628/History;Gorgan;Golestan Research Center of Gastroenterology and Hepatology;Asia;IRAN;Iran
Guilan;V;440;Guilan Cancer Registry Network (GCRN);NULL;Rasht;Gastrointestinal and Liver Diseases Research Center;Asia;IRAN;Iran
Khorasan Razavi;V;1378;Cancer Registry of Khorasan Razavi;NULL;Mashhad;NULL;Asia;IRAN;Iran
Tehran;N;441;Tehran Metropolitan Area Population-based Cancer Registry;NULL;Tehran;Shamra Project;Asia;IRAN;Iran
Iraq;N;442;Iraqi Cancer Registry;NULL;Baghdad;NULL;Asia;IRAQ;Iraq
Basrah;N;443;University of Basrah;NULL;Basrah;Department of Community Medicine;Asia;IRAQ;Iraq
Kirkuk;V;961;Kirkuk Cancer Registry;;;;Asia;IRAQ;Iraq
Iraq-Kurdistan;V;1062;Iraq-Kurdistan-Sulaimani Cancer Registry;;;;Asia;IRAQ;Iraq
Mosul;N;444;Mosul Cancer Registry;NULL;Mosul;NULL;Asia;IRAQ;Iraq
Israel;V;445;Israel National Cancer Registry;https://www.health.gov.il/UnitsOffice/HD/ICDC/ICR/Pages/default.aspx;Tel HaShomer;Israel National Cancer Registry;Asia;ISRAEL;Israel
Japan;V;447;National Cancer Center;www.ncc.go.jp;Tokyo;Center for Cancer Registries;Asia;JAPAN;Japan
Japan;V;446;The Japanese Association of Cancer Registries;http://www.jacr.info/;Chuo-ku;;Asia;JAPAN;Japan
Japan 8 registries;N;984;AIC, HIR, MIY, NAG, NII, OSA, TOC & YAM for IICC3;NULL;NULL;NULL;Asia;JAPAN;Japan
Japan 5 registries;N;985;Hiroshima, Kanagawa, Miyagi, Nagasaki, Osaka for IICC3;NULL;NULL;NULL;Asia;JAPAN;Japan
Aichi;V;448;Aichi Cancer Registry;;Nagoya;Division of Epidemiology and Prevention;Asia;JAPAN;Japan
Fukui;V;449;Fukui Cancer Registry;NULL;Fukui-shi;NULL;Asia;JAPAN;Japan
Fukui;N;1241;Delete - Duplicate;NULL;Delete - Duplicate;NULL;Asia;JAPAN;Japan
Fukuoka;V;450;Fukuoka Cancer Registry;NULL;Fukuoka;NULL;Asia;JAPAN;Japan
Hiroshima;V;451;Tumor and Tissue Registry Office, Hiroshima;;Hiroshima;Department of Epidemiology;Asia;JAPAN;Japan
Hokkaido;N;452;Hokkaido Cancer Registry;NULL;Sapporo;Adult Health Division, Dept. of Health & Environment.;Asia;JAPAN;Japan
Kanagawa;V;453;Kanagawa Cancer Registry;http://kcch.kanagawa-pho.jp/specialized/t_registration.html;Yokohama;Cancer Prevention and Control Division;Asia;JAPAN;Japan
Kitakyushu;U;454;Kitakyushu School of Medicine;NULL;Kitakyushu;Department of Clinical Epidemiology;Asia;JAPAN;Japan
Miyagi;V;455;Miyagi Prefectural Cancer Registry;;Natori;Miyagi Prefectural Cancer Registry;Asia;JAPAN;Japan
Nagasaki;V;456;Tumor and Tissue Registry Office, Nagasaki;http://www.rerf.jp/dept/epidemi/index_e.html;Nagasaki;Department of Epidemiology;Asia;JAPAN;Japan
Niigata;V;457;Niigata Cancer Registry;NULL;Niigata;NULL;Asia;JAPAN;Japan
Osaka;V;458;Osaka Cancer Registry;http://www.mc.pref.osaka.jp/ocr/en/;Osaka;Cancer Control Center;Asia;JAPAN;Japan
Saga;V;459;Saga Prefectural Cancer Registry;;Saga;Saga-Ken Medical Centre Koseikan;Asia;JAPAN;Japan
Tochigi;V;560;Tochigi Cancer Registry;http://www.pref.tochigi.lg.jp/e04/cancer/documents/canreg.html;Utsunomiya;Department of Epidemiology;Asia;JAPAN;Japan
Tokyo;N;460;Tokyo Institute of Preventive Oncology;NULL;Tokyo;NULL;Asia;JAPAN;Japan
Tottori;V;461;Tottori Cancer Registry;;Yonago;Division of Environmental and Preventive Medicine, Department of Social Medicine;Asia;JAPAN;Japan
Yamagata;V;462;Yamagata Prefectural Cancer Registry;NULL;Yamagata;NULL;Asia;JAPAN;Japan
Nagoya_Tb;N;463;Nagoya Trophoblastic Tumour Registry;NULL;Nagoya;Dept. of Obstetrics & Gynaecology;Asia;JAPAN;Japan
Japan_P_Rb;N;464;National Registry of Children with Retinoblastoma;NULL;Ichihara-City;Department of Ophthalmology;Asia;JAPAN;Japan
Jordan;V;465;Jordan Cancer Registry;www.moh.gov.jo;Amman;Department of Cancer Prevention - Jordan Cancer Registry;Asia;JORDAN;Jordan
Kazakhstan;V;1061;Kazakhstan Cancer Registry;;;;Asia;KAZAKHSTAN;Kazakhstan
North Korea;V;1375;National Cancer Registry DPR of Korea;;;;Asia;NORTH_KOREA;North Korea
South Korea Institute of Oncology;V;1243;Korea Central Cancer Registry (KCCR);http://ncc.re.kr/main.ncc?uri=manage02_1;Goyang-si;Cancer Registration & Statistics Branch;Asia;KOREA_SOUTH;South Korea
Korea;N;466;Korea Central Cancer Registry (KCCR);http://ncc.re.kr/main.ncc?uri=manage02_1;Goyang-si;Cancer Registration & Statistics Branch;Asia;KOREA_SOUTH;South Korea
Busan;V;467;Busan Cancer Registry (BSCR);www.busancancercenter.or.kr;Busan;Regional Cancer Center;Asia;KOREA_SOUTH;South Korea
Daegu;V;468;Daegu Kyeongbuk Regional Cancer Registry;NULL;Daegu;Department of Preventive Medicine;Asia;KOREA_SOUTH;South Korea
Daejeon;V;469;Daejeon Cancer Registry;;Daejeon;;Asia;KOREA_SOUTH;South Korea
Goyang;N;470;Goyang Cancer Registry;NULL;Goyang;NULL;Asia;KOREA_SOUTH;South Korea
Gwangju;V;471;Gwangju Cancer Registry;;Hwasun-gun;Department of Cancer Registry and Public Health;Asia;KOREA_SOUTH;South Korea
Haman;N;472;Haman Cancer Registry;NULL;Haman;NULL;Asia;KOREA_SOUTH;South Korea
Incheon;V;473;Incheon Cancer Registry;;Inchon;Department of Radiation Oncology;Asia;KOREA_SOUTH;South Korea
Jeju;V;474;Jeju Regional Cancer Registry;;Jeju-si;;Asia;KOREA_SOUTH;South Korea
Kangwha;N;475;Kangwha Cancer Registry;NULL;Seoul;Dept. of Preventive Medicine & Public Health;Asia;KOREA_SOUTH;South Korea
Kwangju;N;476;Kwangju Cancer Registry;NULL;Kwang;NULL;Asia;KOREA_SOUTH;South Korea
Seoul;V;477;Seoul Cancer Registry;;Goyang-si;Division of Cancer Registration and Surveillance;Asia;KOREA_SOUTH;South Korea
Taegu;N;478;Taegu Cancer Registry;NULL;Taegu;Dept Prev. Med & Occup. Health;Asia;KOREA_SOUTH;South Korea
Ulsan;V;479;Ulsan Cancer Registry;http://ucc.uuh.ulsan.kr;Ulsan;Department of Occupational & Environmental Medicine;Asia;KOREA_SOUTH;South Korea
Kuwait;V;480;Kuwait Cancer Registry;NULL;Shuwaikh;Kuwait Cancer Registry (KCR);Asia;KUWAIT;Kuwait
Kyrgyzstan;V;481;Cancer Registry of Kyrgyz Republic;;Bishkek;;Asia;KYRGYZSTAN;Kyrgyzstan
Laos;N;482;Laos National Cancer Registry;NULL;Vientiane;Dept. of Anatomical Pathology;Asia;LAOS;Laos
WHO - Laos;N;483;World Health Organization Office;NULL;Vientiane;NULL;Asia;LAOS;Laos
Lebanon;V;484;National Cancer Registry;www.moph.gov.lb;Beirut;Epidemiological Surveillance Program;Asia;LEBANON;Lebanon
Malaysia;V;485;Malaysia Cancer Registry;http://nci.moh.gov.my;Putrajaya;Malaysia Cancer Registry;Asia;MALAYSIA;Malaysia
Malaysia_P;N;486;Malaysian Childhood Cancer Registry;NULL;Kuala Lumpur;Department of Paediatrics;Asia;MALAYSIA;Malaysia
Penang;V;487;Penang Cancer Registry;;George Town;"Public Health Division
Penang State Health Department";Asia;MALAYSIA;Malaysia
Sarawak;V;488;Sarawak Cancer Registry;NULL;Kuching;NULL;Asia;MALAYSIA;Malaysia
Malaysia_HP;N;489;Malaysian Leukaemia Cancer Registry;NULL;Kuala Lumpur;NULL;Asia;MALAYSIA;Malaysia
Mongolia;V;490;National Cancer Center of Mongolia;;Ulaan Baatar;Research, Training and Information Department;Asia;MONGOLIA;Mongolia
Nay Pyi Taw;V;1486;Nay Pyi Taw Cancer Registry;NULL;Nay Pyi Taw;Cancer Registry Unit Nay Pyi Taw;Asia;MYANMAR;Myanmar
Yangon;V;491;Yangon Cancer Registry;NULL;Yangon;Dept. of Oncology;Asia;MYANMAR;Myanmar
Nepal;V;1485;Population Based Cancer Registry of Nepal;http://www.nhrc.org.np;Kathmandu;NULL;Asia;NEPAL;Nepal
Nepal Cancer Treatment & Research;N;492;Nepal Network for Cancer Treatment and Research (NNCTR);NULL;Banepa;NULL;Asia;NEPAL;Nepal
Bhaktapur;N;493;Bhaktapur Cancer Care Centre;NULL;Bhaktapur;NULL;Asia;NEPAL;Nepal
Oman;V;494;Oman National Cancer Registry;;Muscat;Non-Communicable Diseases Surveillance & Control Dept.;Asia;OMAN;Oman
Islamabad_P;N;495;Islamabad Children’s Cancer Registry;NULL;Islamabad;The Children’s Hospital P.I.M.S.;Asia;PAKISTAN;Pakistan
Pakistan 2 registries;N;986;KAR, PUN for IICC3;NULL;NULL;NULL;Asia;PAKISTAN;Pakistan
Aga Khan University;V;496;Aga Khan University Pathology-Based Cancer Registry;NULL;Karachi;Department of Pathology;Asia;PAKISTAN;Pakistan
Shaukat Khanum;V;497;Shaukat Khanum Memorial Cancer Hospital Registry;www.shaukatkhanum.org.pk/home.html;Lahore;Cancer Registry and Clinical Data Management;Asia;PAKISTAN;Pakistan
Karachi;V;498;Karachi Cancer Registry;NULL;Karachi;Department of Pathology;Asia;PAKISTAN;Pakistan
Punjab;V;499;Punjab Cancer Registry;http://punjabcancerregistry.org.pk/;Lahore;Cancer Registry and Clinical Data Management;Asia;PAKISTAN;Pakistan
Palestine;N;500;Palestine;NULL;Bethlehem;Oncology Department;Asia;PALESTINE;Palestine
Gaza;V;501;Gaza Cancer Registry;NULL;Gaza;Shifa Hospital;Asia;PALESTINE;Palestine
Philippines 2 registries;N;502;MAN & RIZ for IICC-3;NULL;NULL;NULL;Asia;PHILIPPINES;Philippines
